date,open,high,low,close,amount,volume,reserve
20100104,3289.75,3295.28,3243.32,3243.76,136464146432.0,122446259,32571764
20100105,3254.47,3290.51,3221.46,3282.18,165339381760.0,142274964,18416221
20100106,3277.52,3295.87,3253.04,3254.21,160284426240.0,135131301,34210145
20100107,3253.99,3268.82,3176.71,3192.78,160533823488.0,145228703,51708014
20100108,3177.26,3198.92,3149.02,3196.0,124813623296.0,114602542,14221972
20100111,3301.61,3306.75,3197.33,3212.75,182514876416.0,161502182,26477026
20100112,3205.7,3275.2,3180.08,3273.97,177844224000.0,159128744,5374770
20100113,3204.98,3232.82,3165.49,3172.66,202360602624.0,185213142,42729717
20100114,3183.38,3219.02,3165.6,3215.55,171208540160.0,151986663,2687836
20100115,3217.19,3241.82,3197.22,3224.15,153643335680.0,131414089,21037605
20100118,3213.64,3238.24,3202.21,3237.1,171726454784.0,145703540,10552026
20100119,3242.22,3268.81,3236.84,3246.87,165774835712.0,144950161,31392150
20100120,3252.04,3255.13,3148.33,3151.85,195394207744.0,172555629,51839084
20100121,3154.19,3176.15,3126.9,3158.86,145694261248.0,132639664,21037627
20100122,3118.72,3147.83,3062.63,3128.59,167218413568.0,156427043,48562339
20100125,3103.32,3137.0,3092.93,3094.41,98070519808.0,93994068,46399667
20100126,3094.85,3107.2,3001.96,3019.39,112348086272.0,109494648,56098872
20100127,3020.54,3028.65,2972.63,2986.61,93409853440.0,93150250,40567039
20100128,2985.21,3006.04,2963.89,2994.14,87828856832.0,85167124,9765590
20100129,2979.74,3024.85,2968.45,2989.29,97625178112.0,91271121,23593463
20100201,2981.37,2981.37,2912.89,2941.36,105912139776.0,100564350,39649578
20100202,2955.75,2990.75,2930.56,2934.71,99637895168.0,93734932,36503878
20100203,2945.03,3005.13,2890.02,3003.83,122261766144.0,119005325,11010782
20100204,2983.05,3015.13,2968.68,2995.31,116737007616.0,111441893,20382264
20100205,2936.2,2959.23,2918.91,2939.4,112754032640.0,107746151,48562334
20100208,2936.45,2954.27,2922.19,2935.17,74134929408.0,68452322,25493987
20100209,2932.09,2957.47,2929.21,2948.84,69304770560.0,69093617,23134740
20100210,2967.14,2983.18,2958.22,2982.5,68177453056.0,62322402,8520433
20100211,2985.08,3001.64,2976.08,2985.5,65796304896.0,62462058,36045119
20100212,2996.09,3018.86,2993.44,3018.13,67723890688.0,60694994,5243693
20100222,3016.7,3026.66,3002.81,3003.4,79980085248.0,75193872,30212512
20100223,2998.91,2998.91,2938.75,2982.58,99815440384.0,89011526,23462419
20100224,2964.98,3023.74,2955.07,3022.18,106781057024.0,99625941,3539793
20100225,3026.66,3063.0,3022.37,3060.62,140960595968.0,130544488,3277645
